client_id,nps_score,response_time_hrs,escalations,satisfied
1,73,341.3,276.62,1
2,69,426.83,275.0,1
3,75,130.76,428.91,1
4,55,254.5,339.76,1
5,87,233.03,213.66,0
6,52,387.66,199.94,1
7,30,95.53,42.08,0
8,50,367.08,469.49,1
9,56,116.06,324.5,0
10,25,130.19,364.49,0
11,39,84.44,52.91,0
12,63,36.56,446.48,0
13,36,70.02,341.92,0
14,89,338.41,476.77,1
15,23,128.03,421.98,0
16,83,58.59,304.08,0
17,88,62.25,72.01,0
18,58,20.04,218.45,0
19,91,275.0,202.23,0
20,50,185.33,291.8,0
21,24,350.23,43.64,0
22,85,69.88,459.6,1
23,75,161.14,328.27,0
24,45,157.56,139.54,0
25,46,225.5,389.06,1
26,81,370.16,165.89,1
27,55,435.58,102.37,0
28,72,174.21,248.7,0
29,50,119.48,303.17,0
30,28,385.22,384.83,1
31,74,270.54,336.54,1
32,38,153.88,477.9,1
33,67,215.28,198.34,0
34,93,92.57,334.0,0
35,50,158.94,224.17,0
36,23,296.31,101.35,0
37,59,310.21,329.19,1
38,43,452.87,216.36,1
39,42,139.27,252.44,0
40,21,210.54,449.65,1
41,66,304.86,380.68,1
42,94,288.29,275.47,1
43,24,255.14,68.0,0
44,92,112.96,242.47,0
45,41,161.08,380.76,0
46,60,141.58,131.66,0
47,32,401.56,160.95,1
48,94,453.97,51.37,1
49,54,26.55,375.6,0
50,42,170.33,327.26,0
51,76,52.11,325.13,0
52,24,182.76,223.24,0
53,74,350.47,379.56,1
54,63,131.74,197.78,0
55,58,494.58,338.97,1
56,38,396.58,385.09,1
57,35,46.07,313.41,0
58,48,148.25,296.26,0
59,22,120.45,265.74,0
60,48,286.63,356.22,1
61,72,478.67,12.48,0
62,89,355.66,38.73,0
63,32,408.43,366.81,1
64,77,145.59,400.38,1
65,75,210.73,393.34,1
66,21,423.28,86.15,0
67,72,301.46,325.78,1
68,86,306.29,231.24,1
69,79,114.98,367.6,0
70,87,52.38,459.85,1
71,40,293.23,152.84,0
72,34,120.05,222.14,0
73,50,213.27,241.22,0
74,49,374.07,143.29,0
75,39,454.37,378.16,1
76,61,171.25,135.67,0
77,67,329.36,119.08,0
78,33,52.84,389.42,0
79,87,451.17,75.89,1
80,28,386.09,367.69,1
81,64,428.46,344.38,1
82,67,89.36,99.44,0
83,90,230.94,178.38,0
84,29,484.33,109.19,1
85,75,125.06,58.17,0
86,91,39.9,252.12,0
87,65,158.93,460.45,1
88,20,350.54,212.3,0
89,32,206.41,48.65,0
90,71,239.38,102.35,0
91,62,292.91,409.23,1
92,75,361.76,113.31,0
93,34,259.2,223.86,0
94,69,360.26,77.81,0
95,86,166.73,262.81,0
96,93,162.62,227.42,0
97,24,56.95,87.03,0
98,26,108.31,299.64,0
99,47,360.49,80.73,0
100,68,463.8,180.71,1
101,89,275.1,401.31,1
102,73,456.05,87.22,1
103,23,86.47,269.33,0
104,67,397.45,382.69,1
105,73,197.67,33.6,0
106,42,347.26,482.98,1
107,74,416.6,132.29,1
108,72,381.15,223.11,1
109,69,194.67,316.56,0
110,68,192.33,93.93,0
111,61,224.67,420.9,1
112,41,262.1,281.7,0
113,36,47.05,175.05,0
114,31,235.09,218.46,0
115,26,374.26,363.91,1
116,84,348.61,404.96,1
117,80,323.3,314.71,1
118,71,350.46,421.9,1
119,46,448.17,40.77,0
120,78,397.53,434.1,1
121,28,444.24,164.0,1
122,70,124.47,62.27,0
123,37,371.03,437.41,1
124,60,21.94,133.09,0
