Project_ID,Team_Size,Complexity,Risk_Rating,Scope_Creep_Frequency,Duration,Budget,Client_Satisfaction,Success
1,9,4,8,4,23.19530860300869,208590.72441435707,38.00103717983619,0
2,6,5,8,4,25.010637436429214,102395.77941716282,34.06163613666315,0
3,13,5,5,2,27.463996777978,345318.6270903875,58.62988999224687,0
4,10,7,4,3,26.809556362600656,281168.7588868016,48.34622911970466,0
5,7,4,2,1,17.852433725567217,151488.17244508956,77.6538502940047,1
6,9,1,3,3,11.062845412893623,114401.24485487577,78.27130302419732,1
7,12,5,3,2,27.6374049312642,200209.5961535064,62.93715983669355,0
8,5,7,4,2,21.64912710467238,206014.07969926184,52.990663951880066,0
9,9,6,4,2,26.040108089313676,251819.34007652474,59.59789192997619,0
10,13,5,5,0,31.53521739009766,239336.42874667412,65.86018951725137,0
11,13,4,4,3,26.214826030044996,270065.6356931831,59.533450471771694,0
12,10,2,8,3,16.91141452938228,132411.23878421081,46.16470135208345,0
13,7,4,6,4,12.610653589188395,127820.91790034226,48.599676684666925,0
14,6,3,6,4,12.471606204570246,164080.16531015653,52.5489050052796,0
15,10,1,8,4,14.701698566456464,151595.49811138646,42.79233500413072,0
16,10,8,7,2,31.405178329003235,325461.3208797864,39.09295856188385,0
17,5,5,8,3,16.106722220726187,128651.50729030767,42.53604800001717,0
18,8,4,2,2,17.80958165960194,142141.28903047554,74.6523238159166,1
19,7,8,9,0,25.50514389804261,214372.8458606134,32.76048253863444,0
20,4,7,1,4,18.983900913844405,150102.29359536865,59.62172427351835,0
21,10,2,8,2,14.136682106096856,174339.49546593972,50.51778767606441,0
22,14,1,4,2,15.500331037209154,162715.09223528017,77.10754191460285,1
23,8,4,4,0,9.391019739224365,135193.24397411587,72.87773245046014,1
24,4,8,5,1,15.267744897677105,196544.49319216743,52.56769593971778,0
25,14,2,8,3,24.132590534583244,160140.47002194275,44.01097495347859,0
26,7,3,5,1,17.397647024845234,96612.32957606604,69.94935289892965,1
27,3,1,8,4,4.657487120457253,55199.3151047515,42.56302428650393,0
28,14,1,1,2,23.423210571607797,131774.17866668347,87.4865105471851,1
29,12,3,9,0,30.654568728661225,223584.22007774896,52.88974458613888,0
30,8,5,6,0,18.595340567767522,142744.65448616332,53.8817055050402,0
31,14,3,3,3,29.990342149795875,139095.06990246932,69.52188344905713,0
32,11,1,8,1,21.866919910720746,142655.08374648014,54.88277930082466,0
33,3,1,9,3,5.143169983925503,55301.35052966836,45.04964819672734,0
34,13,8,6,2,38.698706002206485,324573.75318409706,41.94383317686419,0
35,13,2,7,3,18.455709230166384,197504.50236850732,58.317504476045464,0
36,12,3,1,0,17.610137493239797,163042.6835031145,89.82063643240028,1
37,14,2,5,0,18.054551677801477,228244.08015150455,79.52795411865003,1
38,14,3,5,4,19.984919399445044,257525.1247397506,56.760856873550125,0
39,5,7,4,4,19.557321248864117,148621.3740178783,45.595623087810814,0
40,14,1,6,2,16.661309809482077,180388.80970155195,64.99243277577926,1
41,9,8,7,1,28.541583920304603,240473.51886142115,41.08677076098657,0
42,6,2,9,3,15.794366967844805,111966.86849018461,42.726472472223705,0
43,11,3,1,2,24.274799105810104,179647.3624550026,80.8583270377002,1
44,5,9,6,4,29.170312307318135,219488.52243329986,37.070532900037875,0
45,7,7,7,3,27.82410381760358,232463.54355845918,39.77619427239017,0
46,5,4,3,4,17.159003654147924,107495.23180877506,62.09534470448477,1
47,9,5,8,3,27.271950704011978,222333.31346360716,43.1873443042086,0
48,7,2,5,1,8.606709588706886,142822.654630625,70.22283773224855,1
49,11,8,9,2,36.80065834265085,351170.2097004879,31.29287489458349,0
50,9,4,5,3,16.844058608358267,115698.9802758792,56.11490176256727,0
51,4,9,9,0,29.558092502982934,203598.4420009674,34.18166278443174,0
52,6,5,4,0,18.03684614578609,108942.28449245308,69.75568365717166,1
53,11,9,9,3,45.08867808988266,174681.8792011316,21.28590406162181,0
54,14,4,5,3,28.13520485292991,245763.72190429913,56.511595581163995,0
55,4,5,9,3,17.59309621775678,128819.50876444168,30.990804502534818,0
56,12,9,3,0,36.787916538436136,321292.3985403081,61.79679399923074,0
57,11,8,4,0,33.97186408271763,298361.8737440165,60.34973495054148,0
58,12,3,9,3,25.72434187158039,239180.5666175614,39.68913305040689,0
59,7,1,6,4,14.28973499932954,102916.64723019826,55.908262941489596,0
60,4,3,2,4,13.772661274733313,151697.0454944245,73.51909760147711,1
61,6,4,7,1,16.08686521205493,151353.8365196451,56.541354956938925,0
62,14,2,2,2,35.22407637185657,266644.2875152852,80.41101733192389,0
63,14,1,2,4,27.291847185808045,113682.02818374829,80.14535169235582,1
64,9,7,1,0,23.58489651496449,286639.84165247437,84.61906187072637,1
65,14,8,3,4,28.13394767775328,302600.45453063084,43.86852111523365,0
66,10,7,6,1,28.658665174117807,166117.76236348186,52.79687025519884,0
67,5,5,8,1,14.98495529008354,160513.62773070298,43.921047408005506,0
68,3,1,9,2,7.569302306763127,51273.40015814114,51.402244063969896,0
69,6,7,7,4,29.36707414267682,217141.7571987887,36.7147138219393,0
70,4,7,4,0,20.578276159510693,203321.21726898124,61.369022216468345,1
71,10,9,6,0,33.72150815020965,212009.94451220497,42.44301870295272,0
72,6,3,5,3,16.24656866408602,147313.2986315583,61.506302264647594,1
73,4,9,8,0,18.372005714092943,210226.7819477251,38.40620744745083,0
74,8,1,1,2,14.727469873066884,139703.98231917218,83.99468373829211,1
75,8,1,1,2,15.803863408814898,110102.18364904051,96.58869351638846,1
76,12,4,6,0,24.36158528495035,199065.27986886885,64.87325823676966,1
77,6,9,2,0,27.271715094099434,235055.10758686913,70.01030012037546,1
78,8,6,5,3,30.57820867689528,207463.264016915,54.09745325768615,0
79,4,3,1,0,12.897018767970168,90732.65837464051,89.2575281414605,1
80,12,1,7,3,19.628251115828338,148599.77226420733,55.39136233626603,0
81,14,4,1,3,18.583612734712016,190924.9786194484,72.0420342586607,1
82,4,9,4,0,29.135674078868867,194787.4218573432,56.17615465814445,0
83,12,3,9,1,18.92838922460109,220318.2319799201,48.15698000140771,0
84,6,9,1,1,24.041903896881198,228643.1872176604,64.00414599860264,1
85,10,7,4,3,28.15153127584619,287371.6771379404,50.091131362965754,0
86,9,4,6,0,14.533188618278055,174437.1159704078,60.21619812018684,1
